series,time,value
Z,4:46:41,26591
Z,4:46:41,26354
Z,4:46:41,25258
Z,4:46:41,23936
Z,4:46:41,22256
Z,4:46:41,20870
Z,4:46:41,19972
Z,4:46:41,19021
Z,4:46:41,18349
Z,4:46:41,17726
Z,4:46:41,17438
Z,4:46:41,17302
Z,4:46:41,16268
Z,4:46:41,14454
Z,4:46:41,12585
Z,4:46:41,10961
Z,4:46:41,9926
Z,4:46:41,9486
Z,4:46:41,9635
Z,4:46:41,10447
Z,4:46:41,10943
Z,4:46:41,11206
Z,4:46:41,11745
Z,4:46:41,12657
Z,4:46:41,13923
Z,4:46:41,14951
Z,4:46:41,15632
Z,4:46:41,16096
Z,4:46:41,17038
Z,4:46:41,18227
Z,4:46:41,19252
Z,4:46:41,19555
Z,4:46:41,20037
Z,4:46:41,19941
Z,4:46:41,18485
Z,4:46:41,17477
Z,4:46:41,16964
Z,4:46:41,19905
Z,4:46:41,26063
Z,4:46:41,30826
Z,4:46:41,32495
Z,4:46:41,32749
Z,4:46:41,31313
Z,4:46:41,25871
Z,4:46:41,18332
Z,4:46:41,10285
Z,4:46:41,4028
Z,4:46:41,1938
Z,4:46:41,873
Z,4:46:42,-970
Z,4:46:42,-1003
Z,4:46:42,2349
Z,4:46:42,7251
Z,4:46:42,11517
Z,4:46:42,14625
Z,4:46:42,16545
Z,4:46:42,18235
Z,4:46:42,21289
Z,4:46:42,25627
Z,4:46:42,28758
Z,4:46:42,29724
Z,4:46:42,30267
Z,4:46:42,30687
Z,4:46:42,28697
Z,4:46:42,24018
Z,4:46:42,19447
Z,4:46:42,16295
Z,4:46:42,14401
Z,4:46:42,14217
Z,4:46:42,15054
Z,4:46:42,15260
Z,4:46:42,13563
Z,4:46:42,9990
Z,4:46:42,5626
Z,4:46:42,1037
Z,4:46:42,-1971
Z,4:46:42,-1747
Z,4:46:42,816
Z,4:46:42,4126
Z,4:46:42,7001
Z,4:46:42,9202
Z,4:46:42,10838
Z,4:46:42,11893
Z,4:46:42,13570
Z,4:46:42,16225
Z,4:46:42,18536
Z,4:46:42,18662
Z,4:46:42,16902
Z,4:46:42,16368
Z,4:46:42,17841
Z,4:46:42,20693
Z,4:46:42,23816
Z,4:46:42,26623
Z,4:46:42,29046
Z,4:46:42,29593
Z,4:46:42,28213
Z,4:46:42,25264
Z,4:46:42,21799
Z,4:46:42,19095
Z,4:46:42,17954
Z,4:46:42,18432
Z,4:46:42,19996
Z,4:46:42,20672
Z,4:46:42,19798
Z,4:46:42,18666
Z,4:46:42,17212
Z,4:46:42,16778
Z,4:46:42,16548
Z,4:46:42,16884
Z,4:46:42,17226
Z,4:46:42,15067
Z,4:46:42,12572
Z,4:46:42,12202
Z,4:46:42,13374
Z,4:46:42,15007
Z,4:46:42,16972
Z,4:46:42,18212
Z,4:46:42,18147
Z,4:46:42,17241
Z,4:46:42,16064
Z,4:46:42,14870
Z,4:46:42,14346
Z,4:46:42,14069
Z,4:46:42,14117
Z,4:46:42,13220
Z,4:46:42,11643
Z,4:46:42,11252
Z,4:46:42,10678
Z,4:46:42,12772
Z,4:46:42,17889
Z,4:46:42,22038
Z,4:46:42,23300
Z,4:46:42,25333
Z,4:46:42,28709
Z,4:46:42,27954
Z,4:46:42,22972
Z,4:46:42,17586
Z,4:46:42,14305
Z,4:46:42,11306
Z,4:46:42,9928
Z,4:46:42,10544
Z,4:46:42,10858
Z,4:46:42,12540
Z,4:46:42,16545
Z,4:46:42,20614
Z,4:46:42,21412
Z,4:46:42,19340
Z,4:46:42,16619
Z,4:46:42,15996
Z,4:46:43,18252
Z,4:46:43,20349
Z,4:46:43,21017
Z,4:46:43,21257
Z,4:46:43,21901
